EmployeeID,FirstName,LastName,Email,Department,Salary,HireDate
1,Justin,Myers,gcampbell@hotmail.com,Marketing,71881,11/2/2019
2,Gloria,Turner,estrickland@hotmail.com,Marketing,40788,6/28/2024
3,Amy,Nelson,kennethsmith@marsh-yu.com,IT,100445,6/9/2017
4,Lori,Cline,johnsoncarrie@hotmail.com,Marketing,70585,7/3/2024
5,Bradley,Barnett,mark31@yahoo.com,Finance,39302,12/17/2019
6,Heather,Jackson,mendozaashley@yahoo.com,Finance,34138,2/1/2025
7,Pamela,Davis,dawn80@gmail.com,IT,68111,7/6/2019
8,Vanessa,Park,jreynolds@yahoo.com,Marketing,93870,7/7/2023
9,Tyler,Palmer,ocraig@smith-white.net,Finance,88490,5/24/2021
10,Ralph,Garcia,wwilliams@gmail.com,Marketing,88088,10/16/2022
11,Kathleen,Dalton,shelbysmith@gmail.com,Sales,48257,5/15/2023
12,Mariah,Bryant,rlawson@hotmail.com,Marketing,53909,10/20/2020
13,Doris,Lloyd,danielnelson@crosby.info,HR,71751,3/10/2017
14,Robert,Mueller,mathiskevin@yahoo.com,Finance,40833,11/23/2022
15,Bobby,Hicks,lambjill@miller.org,HR,44571,2/9/2019
16,Joanna,Becker,alecfernandez@armstrong.com,HR,57234,4/6/2021
17,Dean,Martinez,sosatiffany@king.com,Marketing,115285,9/16/2020
18,Taylor,Parker,wellsjason@hotmail.com,Sales,97812,11/9/2015
19,Cheyenne,Scott,zmaldonado@sellers-smith.com,IT,51480,12/3/2024
20,Christopher,Scott,ryanward@hotmail.com,IT,91825,1/1/2020
21,Benjamin,Mccoy,callen@gmail.com,Sales,115773,4/14/2024
22,Alison,Bailey,brendamurray@yahoo.com,Marketing,105586,9/5/2015
23,Dominic,Richards,gabriellewilliams@gmail.com,HR,59407,7/19/2017
24,Rebecca,Leonard,cynthia36@yahoo.com,Sales,90058,10/13/2018
25,Stephanie,Villarreal,maciasjohn@gmail.com,Marketing,116303,7/5/2019
26,Michelle,Garcia,vwilliams@berg.com,HR,95439,6/17/2017
27,Stephanie,Morgan,shepardelizabeth@washington-allen.com,Sales,59482,1/23/2019
28,Kenneth,Davis,msimmons@taylor.com,HR,35964,3/19/2016
29,Charles,Peterson,carlosjones@gmail.com,IT,101915,4/11/2016
30,Carrie,Carter,rebeccahiggins@wiggins-monroe.org,HR,64851,10/21/2019
31,Kristen,Davenport,brownjamie@cobb.com,Sales,109856,10/10/2024
32,Adam,Grimes,nancy76@gmail.com,Finance,83448,12/19/2021
33,Thomas,Bean,tammy45@yahoo.com,Finance,61520,10/15/2021
34,Paige,Morrow,garyaguilar@carr.com,Finance,46819,1/31/2019
35,William,Kemp,adamsronald@gmail.com,IT,56685,3/21/2022
36,Kelly,Scott,marcus43@gmail.com,Sales,60736,1/13/2025
37,April,Hill,paulobrien@yahoo.com,Sales,62216,7/11/2015
38,Mark,Lopez,smallchristina@yahoo.com,Sales,66071,5/5/2022
39,Thomas,Reyes,sean69@yahoo.com,Sales,47122,6/21/2017
40,Lauren,Crane,ljones@watkins-malone.com,Marketing,109017,5/1/2021
41,James,Alvarez,khayes@gmail.com,HR,106100,7/31/2024
42,Amy,Gilbert,drobertson@casey.com,IT,31329,11/18/2019
43,Elizabeth,Wood,lanecharles@frederick.com,Sales,93878,11/21/2018
44,Michael,Acosta,jarnold@mendoza-day.net,HR,64495,7/5/2015
45,Tracey,Clark,milleranthony@brown.com,Finance,67274,1/22/2023
46,Brooke,Reynolds,henrywoods@hotmail.com,Sales,38324,6/16/2024
47,Nicole,Ewing,dgibson@walker-reid.biz,Marketing,80388,3/27/2023
48,Amber,Henderson,dustinmartinez@jones-king.biz,Sales,66424,11/15/2019
49,Misty,Phillips,joshua14@foster-nelson.com,Finance,109489,6/26/2015
50,William,Bird,sgarcia@martinez.com,Sales,112870,2/27/2022
51,Deanna,Stevens,erica64@acosta-alexander.org,Sales,97892,7/27/2020
52,Amy,Moore,pamela01@gmail.com,Sales,103568,4/4/2018
53,Michael,Kirk,simssusan@young.com,Sales,35889,2/21/2025
54,Joshua,Hunter,bethmoore@hotmail.com,IT,70715,3/8/2024
55,Allison,Stanley,ncampbell@yahoo.com,HR,98971,11/19/2017
56,Nicole,Wise,cwelch@williams.com,Finance,105472,9/28/2023
57,Stephen,Myers,amywalters@hotmail.com,Finance,45099,3/24/2024
58,James,Patterson,yrussell@cook.com,IT,69208,8/31/2015
59,Jacob,Mckee,millerrandall@hotmail.com,Finance,74628,7/21/2023
60,Megan,Carter,vgarcia@yahoo.com,Sales,34989,7/9/2020
